نوع العقار,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
شقة, حي المروج ,جنوبية,4,1,3,249,1,0,1,3,0.0,0,1434000
شقة, حي العارض ,شمالية غربية,3,1,3,199,0,0,1,علوي,0.0,0,980000
شقة, حي النرجس ,غير معروف,3,1,3,145,1,0,1,أرضي,2.0,0,1050000
شقة, حي النرجس ,شمالية,3,1,3,101,1,0,0,أرضي,0.0,1,1200000
شقة, حي الياسمين ,شرقية,4,1,3,147,1,0,1,علوي,2.0,1,1200000
شقة, حي الياسمين ,غير معروف,3,1,2,118,1,0,1,3,0.0,0,850000
شقة, حي النرجس ,شرقية,3,1,3,112,1,0,0,أرضي,0.0,0,885000
شقة, حي النرجس ,شرقية,2,1,3,100,1,0,1,3,0.0,0,1200000
شقة, حي النرجس ,جنوبية شرقية,3,1,3,170,1,0,1,ثالث,0.0,1,930000
شقة, حي العقيق ,غير معروف,3,1,3,115,0,1,1,غير محدد,11.0,0,1100000
شقة, حي القيروان ,شرقية,4,1,3,150,1,0,0,أرضي,0.0,0,1300000
شقة, حي النرجس ,غير معروف,2,2,3,157,1,0,0,أرضي,0.0,0,950000
شقة, حي الملقا ,شمالية غربية,4,1,3,124,1,0,1,علوي,0.0,0,959000
شقة, حي الملقا ,غير معروف,3,1,3,140,0,0,1,علوي,0.0,0,1190000
شقة, حي الملقا ,غير معروف,3,1,3,134,1,0,1,غير محدد,1.0,0,1320000
شقة, حي النرجس ,جنوبية,4,1,3,120,1,0,0,أرضي,0.0,0,850000
شقة, حي النخيل ,ثلاث شوارع,2,1,3,140,0,1,1,علوي,0.0,0,3300000
شقة, حي الملقا ,غير معروف,3,1,3,116,1,1,1,أرضي,2.0,1,1100000
شقة, حي القيروان ,غير معروف,3,1,3,100,1,1,1,أرضي,0.0,0,850000
شقة, حي الياسمين ,غير معروف,3,1,3,112,0,0,0,أرضي,0.0,0,950000
شقة, الرياض ,غير معروف,2,1,3,135,0,0,0,غير محدد,0.0,0,1375000
شقة, حي الصحافة ,غير معروف,2,1,3,142,1,1,1,غير محدد,7.0,0,1980000
شقة, حي الياسمين ,جنوبية,4,1,4,201,1,0,1,علوي,3.0,0,1400000
شقة, حي العارض ,جنوبية شرقية,3,2,3,167,1,1,0,غير محدد,0.0,1,990000
شقة, حي القيروان ,غير معروف,3,2,3,228,1,1,1,علوي,0.0,1,1850000
شقة, حي الملقا ,غربية,3,2,3,178,1,1,1,غير محدد,0.0,0,1499000
شقة, حي القيروان ,شرقية,3,1,3,104,1,1,0,أرضي,0.0,0,1100000
شقة, حي النرجس ,جنوبية,3,1,3,185,1,0,1,علوي,2.0,1,1000000
شقة, حي النرجس ,غير معروف,3,1,2,129,1,0,1,علوي,0.0,0,830000
شقة, حي النفل ,شمالية,3,1,4,131,0,1,1,3,0.0,0,1070000
شقة, حي الملقا ,شرقية,4,1,3,259,0,0,1,3,0.0,0,1450000
شقة, حي الياسمين ,غير معروف,3,1,3,124,0,1,0,أرضي,0.0,0,990000
شقة, حي الملقا ,غير معروف,3,1,3,121,0,0,1,علوي,0.0,0,1249000
شقة, الرياض ,غربية,3,1,4,166,1,0,1,علوي,0.0,1,1190000
شقة, حي النرجس ,غير معروف,4,2,4,155,1,1,1,أرضي,0.0,0,1205000
شقة, حي النرجس ,جنوبية,2,2,3,117,0,0,1,3,0.0,0,899000
شقة, حي النرجس ,جنوبية,3,1,3,137,1,0,0,علوي,1.0,0,850000
شقة, حي حطين ,غير معروف,3,1,3,174,1,0,1,أرضي,0.0,0,1350000
شقة, حي الربيع ,جنوبية,3,2,3,264,1,1,1,4,0.0,0,1800000
شقة, حي العقيق ,جنوبية,3,1,3,139,1,1,1,3,10.0,0,800000
شقة, حي الربيع ,جنوبية,2,1,2,123,1,0,0,ثاني,0.0,0,1379000
شقة, حي النرجس ,شمالية,3,1,3,145,1,0,1,أرضي,2.0,0,1050000
شقة, حي القيروان ,شمالية,4,1,2,199,1,0,0,علوي,0.0,0,1500000
شقة, الرياض ,غير معروف,1,0,4,178,1,0,0,أرضي,2.0,0,1250000
شقة, حي العقيق ,شمالية,4,1,3,220,1,1,1,3,0.0,0,800000
شقة, حي الملقا ,شمالية,3,1,3,150,0,0,0,أرضي,0.0,0,1150000
شقة, حي الصحافة ,جنوبية,3,1,3,143,0,0,0,دور 59,9.0,1,2630000
شقة, حي الياسمين ,جنوبية,4,2,5+,178,1,1,1,علوي,0.0,0,900000
شقة, حي العارض ,شمالية,3,1,3,142,1,1,1,علوي,0.0,0,799000
شقة, حي المروج ,غير معروف,3,1,3,116,1,0,0,أرضي,0.0,0,969000
شقة, حي الملقا ,شمالية,2,1,3,222,0,0,1,علوي,0.0,0,1199000
شقة, حي الملقا ,شمالية,3,1,3,161,0,0,0,علوي,11.0,0,850000
شقة, حي العارض ,جنوبية,3,1,3,188,1,1,0,غير محدد,0.0,0,1190000
شقة, حي النرجس ,شمالية,3,1,3,188,1,0,1,3,0.0,0,980000
شقة, حي النخيل ,غير معروف,5,1,4,216,0,0,0,أرضي,3.0,0,1100000
شقة, الرياض ,شرقية,3,1,2,104,1,1,1,3,7.0,0,715000
شقة, حي الملقا ,غير معروف,2,1,2,94,1,1,1,أرضي,0.0,1,1300000
شقة, حي العارض ,غير معروف,3,1,3,176,0,0,0,علوي,0.0,0,1079000
شقة, حي المصيف ,شرقية,2,1,2,103,0,0,1,غير محدد,0.0,0,849000
شقة, حي النرجس ,غير معروف,3,0,3,131,1,0,0,أرضي,1.0,0,890000
شقة, حي النرجس ,ثلاث شوارع,2,1,2,151,1,0,1,أرضي,0.0,0,896000
شقة, الرياض ,جنوبية,4,1,3,151,1,1,1,3,0.0,1,1369000
شقة, حي النرجس ,غير معروف,3,2,4,145,0,0,0,أرضي,0.0,0,1100000
شقة, حي العليا ,ثلاث شوارع,4,2,5+,217,1,1,1,غير محدد,5.0,1,3500000
شقة, حي النرجس ,شمالية,3,1,3,240,1,1,0,أرضي,0.0,0,1350000
شقة, حي العارض ,شمالية,3,1,3,120,1,1,1,ارضي,0.0,0,1000000
شقة, حي النرجس ,غير معروف,3,1,3,214,0,1,1,علوي,0.0,0,959000
شقة, حي الفلاح ,غير معروف,3,1,3,132,0,0,0,علوي,0.0,0,1065000
شقة, حي الملقا ,شرقية,3,1,4,148,1,0,1,علوي,0.0,1,1350000
شقة, حي العارض ,غير معروف,3,1,2,109,1,0,1,علوي,4.0,0,820000
شقة, حي الملقا ,شمالية,3,1,3,161,0,0,1,علوي,0.0,0,1429000
شقة, حي العارض ,جنوبية,3,1,3,200,1,0,1,أرضي,0.0,0,1100000
شقة, حي الملقا ,غير معروف,3,1,3,114,0,0,0,غير محدد,0.0,0,850000
شقة, حي الملقا ,غربية,3,1,3,210,1,0,1,غير محدد,0.0,1,1700000
شقة, حي النرجس ,شرقية,3,1,3,132,1,0,1,أرضي,0.0,0,985000
شقة, حي حطين ,شمالية غربية,3,2,3,155,1,0,0,علوي,0.0,0,1260000
شقة, حي النرجس ,غير معروف,2,2,2,129,0,0,1,علوي,0.0,0,830000
شقة, الرياض ,غير معروف,4,1,3,140,0,1,1,علوي,0.0,0,1250000
شقة, حي العارض ,جنوبية,3,2,3,147,1,1,1,غير محدد,0.0,0,959000
شقة, حي الملقا ,غربية,3,2,3,117,1,0,1,أرضي,0.0,0,1179000
شقة, حي حطين ,شرقية,3,1,2,104,1,1,1,3,0.0,0,745000
شقة, حي الندى ,شرقية,3,1,3,135,1,1,1,أرضي,3.0,0,1300000
شقة, حي الملقا ,شمالية,3,1,3,129,1,0,1,علوي,0.0,1,1200000
شقة, حي العارض ,جنوبية غربية,4,1,4,188,0,1,1,ثاني,0.0,0,1200000
شقة, الرياض ,غير معروف,3,1,3,134,0,1,1,أرضي,0.0,0,1350000
شقة, الرياض ,شرقية,3,1,5+,428,1,0,0,علوي,0.0,0,1650000
شقة, حي الملك فهد ,غير معروف,3,1,3,100,1,0,1,علوي,0.0,0,980000
شقة, الرياض ,شمالية,3,1,2,104,0,1,1,3,1.0,0,715000
شقة, حي الياسمين ,شمالية,4,1,4,204,1,0,0,أرضي,13.0,1,1550000
شقة, حي النخيل ,غير معروف,3,2,3,169,1,0,0,3,0.0,0,1490000
شقة, حي العارض ,شرقية,3,1,4,341,0,0,0,ارضي,0.0,0,1450000
شقة, حي الوادي ,جنوبية,3,1,3,126,1,0,0,علوي,2.0,1,970000
شقة, حي العارض ,شرقية,3,1,3,120,1,1,1,ارضي,0.0,0,1100000
شقة, الرياض ,غير معروف,4,1,3,126,1,0,1,علوي,7.0,1,1350000
شقة, حي الملقا ,شرقية,4,2,4,232,1,1,1,3,1.0,1,1500000
شقة, حي العقيق ,شرقية,3,1,3,135,1,0,1,علوي,11.0,1,850000
شقة, الرياض ,جنوبية,3,2,3,130,1,0,0,أرضي,0.0,0,840000
شقة, حي المصيف ,شمالية شرقية,3,1,2,107,1,1,1,أرضي,7.0,0,750000
شقة, حي النفل ,شمالية,2,1,3,93,0,0,1,4,0.0,0,1070000
شقة, حي الملقا ,شمالية غربية,3,2,3,124,0,0,1,3,0.0,0,950000
شقة, حي الملقا ,غير معروف,3,1,3,140,1,1,1,علوي,0.0,0,850000
شقة, حي النرجس ,غربية,6,2,3,256,0,0,1,علوي,0.0,0,1399000
شقة, حي النرجس ,غير معروف,3,3,3,130,1,0,0,أرضي,0.0,0,890000
شقة, حي العقيق ,شمالية,4,2,4,139,1,0,1,غير محدد,8.0,1,800000
شقة, حي النفل ,شمالية,3,1,3,126,0,0,0,غير محدد,2.0,0,970000
شقة, حي النفل ,شمالية,3,1,3,174,1,0,1,غير محدد,0.0,0,850000
شقة, حي الملقا ,جنوبية شرقية,3,1,3,113,1,0,1,أرضي,0.0,0,1020000
شقة, حي حطين ,شرقية,2,2,2,104,1,1,1,4,0.0,0,715000
شقة, حي العارض ,شرقية,2,1,3,61,1,0,0,علوي,0.0,0,750000
شقة, الرياض ,شرقية,3,1,3,163,0,0,1,علوي,0.0,0,985000
شقة, حي النرجس ,جنوبية,2,2,3,117,1,0,1,3,0.0,0,849000
شقة, حي الملقا ,شرقية,4,2,3,168,1,1,1,علوي,0.0,0,1200000
شقة, حي النرجس ,ثلاث شوارع,1,0,3,151,1,0,1,أرضي,0.0,0,900000
شقة, حي النرجس ,شمالية,3,2,5+,226,1,1,0,أرضي,8.0,0,1650000
شقة, حي النرجس ,غير معروف,2,1,3,129,1,0,0,علوي,0.0,0,830000
شقة, حي التعاون ,شمالية,3,1,3,140,1,0,0,أرضي,4.0,0,1200000
شقة, حي النخيل ,جنوبية,3,2,5+,216,1,0,1,أرضي,3.0,0,1200000
شقة, حي المغرزات ,شرقية,3,1,3,218,1,1,1,4,0.0,0,1379000
شقة, حي العارض ,جنوبية,3,1,3,216,1,0,1,أرضي,3.0,0,1180000
شقة, حي الملقا ,شرقية,1,1,3,86,1,1,1,علوي,0.0,0,900000
شقة, حي العارض ,جنوبية,3,2,2,129,1,0,1,أرضي,0.0,0,1000000
شقة, الرياض ,غير معروف,3,2,2,176,1,1,1,علوي,1.0,0,1350000
شقة, حي النرجس ,جنوبية غربية,3,1,3,172,0,0,0,أرضي,0.0,0,1100000
شقة, حي الياسمين ,شمالية,3,2,4,212,1,0,1,أرضي,10.0,0,1000000
شقة, حي الملقا ,شرقية,3,1,3,134,1,0,0,علوي,0.0,0,980000
شقة, حي القيروان ,شرقية,3,1,3,139,1,0,0,أرضي,1.0,0,1600000
شقة, الرياض ,شرقية,4,1,3,134,1,1,1,3,1.0,0,1100000
شقة, الرياض ,غير معروف,1,0,3,151,0,0,0,غير محدد,0.0,0,896000
شقة, حي التعاون ,شرقية,4,2,3,126,1,0,1,علوي,5.0,0,900000
شقة, حي الملقا ,شرقية,3,1,3,135,1,0,1,أرضي,0.0,1,1176000
شقة, حي النرجس ,غربية,3,1,3,115,1,1,1,أرضي,0.0,0,799000
شقة, حي الصحافة ,جنوبية شرقية,1,1,2,81,1,1,1,غير محدد,7.0,1,1600000
شقة, حي العارض ,غير معروف,2,1,3,133,0,1,1,أرضي,0.0,0,790000
شقة, حي النرجس ,غير معروف,3,2,3,147,1,0,0,أرضي,0.0,0,920000
شقة, حي الياسمين ,غير معروف,4,1,3,112,0,0,1,أرضي,0.0,0,955000
شقة, حي العارض ,جنوبية,3,1,3,126,0,1,0,ارضي,0.0,0,900000
شقة, الرياض ,شرقية,4,1,5+,181,0,0,1,علوي,0.0,0,1300000
شقة, حي النرجس ,ثلاث شوارع,2,1,3,167,1,1,1,علوي,0.0,0,1255600
شقة, حي العارض ,شمالية,3,1,4,203,0,1,1,ثالث,0.0,0,1150000
شقة, حي النرجس ,شمالية,3,1,2,120,1,1,1,أرضي,0.0,0,909000
شقة, حي النرجس ,جنوبية,3,1,3,134,0,0,1,علوي,0.0,0,890000
شقة, حي النرجس ,شرقية,3,1,4,178,1,0,1,أرضي,0.0,0,900000
شقة, حي الياسمين ,غير معروف,6,1,5+,180,1,0,0,أرضي,10.0,1,1100000
شقة, حي الملقا ,شمالية,4,1,3,179,1,1,1,3,0.0,0,1155000
شقة, حي الفلاح ,غير معروف,3,1,3,112,1,0,0,علوي,0.0,0,1069000
شقة, حي الملقا ,غربية,3,1,3,190,1,1,1,علوي,0.0,0,1600000
شقة, حي الربيع ,جنوبية,3,1,3,114,1,0,1,أرضي,0.0,0,1000000
شقة, حي الياسمين ,جنوبية,3,1,3,172,1,1,0,غير محدد,3.0,0,1250000
شقة, حي الياسمين ,غير معروف,4,1,3,154,1,0,1,أرضي,0.0,0,900000
شقة, حي النرجس ,شرقية,3,2,3,137,0,0,0,أرضي,0.0,0,980000
شقة, الرياض ,غير معروف,3,1,4,181,1,1,1,20+,0.0,1,2550000
شقة, حي القيروان ,غير معروف,3,1,2,126,0,0,0,غير محدد,2.0,0,950000
شقة, حي النرجس ,غير معروف,4,1,4,137,0,0,0,أرضي,0.0,0,1070000
شقة, حي الملقا ,شرقية,3,1,3,128,1,0,0,علوي,7.0,0,860000
شقة, حي العارض ,شمالية,3,1,2,120,0,0,1,أرضي,0.0,0,910000
شقة, حي النرجس ,جنوبية شرقية,1,1,2,170,1,0,1,3,0.0,0,930000
شقة, حي الندى ,جنوبية,3,2,3,138,1,1,1,علوي,0.0,0,1089000
شقة, حي العارض ,شرقية,3,1,3,280,0,1,1,علوي,0.0,0,1289000
شقة, حي القيروان ,غير معروف,3,1,3,130,1,1,1,أرضي,0.0,1,1328465
شقة, حي النرجس ,غير معروف,2,1,2,129,1,0,0,أرضي,0.0,0,830000
شقة, حي العارض ,شرقية,3,1,3,144,0,0,0,أرضي,0.0,0,900000
شقة, حي الملقا ,غير معروف,3,2,3,169,0,0,1,علوي,0.0,0,1350000
شقة, حي العارض ,جنوبية,4,1,4,200,0,1,0,أرضي,0.0,0,1200000
شقة, حي العارض ,غير معروف,4,1,3,138,1,0,0,علوي,3.0,0,750000
شقة, حي النرجس ,شمالية,3,1,3,138,1,1,1,أرضي,3.0,0,1200000
شقة, حي النرجس ,شمالية,4,2,4,163,1,0,0,3,0.0,0,900000
شقة, حي النرجس ,شمالية,4,1,3,179,1,1,1,3,0.0,0,1155000
شقة, حي الياسمين ,غير معروف,2,1,3,100,1,0,0,أرضي,5.0,0,850000
شقة, حي العارض ,جنوبية,4,2,4,200,1,1,1,علوي,0.0,0,1190000
شقة, حي القيروان ,غير معروف,3,1,3,135,1,0,1,3,3.0,1,1400000
شقة, حي النرجس ,ثلاث شوارع,2,1,3,151,1,1,1,علوي,0.0,0,1179000
شقة, حي العقيق ,شمالية غربية,3,1,3,162,1,1,1,3,0.0,0,700000
شقة, حي العارض ,جنوبية,3,2,3,134,1,0,0,أرضي,0.0,1,1200000
شقة, الرياض ,غير معروف,3,1,3,195,1,1,1,علوي,0.0,1,1199000
شقة, حي الوادي ,شمالية,4,1,2,161,1,1,1,3,0.0,0,800000
شقة, حي حطين ,شرقية,3,1,3,141,1,0,1,أرضي,0.0,0,1400000
شقة, حي المصيف ,جنوبية,2,1,2,100,1,0,1,غير محدد,2.0,1,1100000
شقة, حي النرجس ,جنوبية,3,2,3,200,1,0,0,أرضي,1.0,0,950000
شقة, حي الندى ,جنوبية,2,1,3,109,1,0,1,أرضي,0.0,0,839000
شقة, الرياض ,غير معروف,3,2,3,149,1,0,1,علوي,0.0,0,1250000
شقة, حي العارض ,جنوبية,2,1,2,133,0,0,1,غير محدد,0.0,0,799000
شقة, حي القيروان ,شمالية غربية,3,1,4,280,1,1,0,اول,0.0,0,1730000
شقة, حي الملقا ,شمالية,4,1,4,157,0,0,1,علوي,0.0,0,1300000
شقة, حي الندى ,جنوبية شرقية,3,2,3,241,1,1,1,3,0.0,0,1429000
شقة, حي النرجس ,غير معروف,3,1,3,131,1,0,0,أرضي,0.0,1,890000
شقة, حي حطين ,شرقية,3,1,3,104,1,1,0,أرضي,0.0,1,1400000
شقة, حي النرجس ,شرقية,4,2,3,144,0,0,1,علوي,0.0,0,1150000
شقة, حي حطين ,غير معروف,3,2,4,166,0,0,1,أرضي,0.0,0,1299000
شقة, حي الملقا ,شرقية,3,1,3,169,1,0,1,أرضي,0.0,0,1179000
شقة, حي العارض ,جنوبية,3,1,3,153,1,1,0,غير محدد,0.0,1,1160000
شقة, حي القيروان ,شمالية,3,1,3,210,0,0,1,3,0.0,0,1390000
شقة, الرياض ,شمالية شرقية,3,1,3,147,0,0,0,أرضي,0.0,0,957000
شقة, حي الملقا ,غير معروف,3,2,3,119,1,0,0,أرضي,10.0,0,799000
شقة, حي المرسلات ,غير معروف,3,1,3,128,0,0,1,علوي,0.0,0,1400000
شقة, حي المغرزات ,غربية,3,1,3,154,1,1,1,علوي,0.0,0,1179000
شقة, حي التعاون ,شمالية,4,1,3,191,1,1,1,3,0.0,0,1620000
شقة, حي النرجس ,جنوبية شرقية,3,1,4,160,0,0,1,غير محدد,0.0,0,1100000
شقة, حي حطين ,شرقية,3,2,3,170,0,0,1,3,0.0,0,1390000
شقة, حي النرجس ,شمالية غربية,3,2,3,176,0,0,1,علوي,0.0,0,1233000
شقة, حي الملقا ,غربية,3,2,3,117,1,0,1,3,0.0,1,1179000
شقة, الرياض ,جنوبية غربية,3,2,3,146,1,0,1,علوي,0.0,0,1250000
شقة, حي النرجس ,شمالية,3,1,3,132,1,0,0,غير محدد,0.0,0,1029000
شقة, الرياض ,ثلاث شوارع,4,1,4,151,0,0,0,غير محدد,0.0,0,896000
شقة, حي الياسمين ,غير معروف,3,2,3,191,1,0,0,أرضي,0.0,0,1189000
