نوع العقار,المدينة,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
شقة, الرياض , حي المروج ,جنوبية,4,1,3,249,1,0,1,3,0,0,1434000
شقة, الرياض , حي العارض ,شمالية غربية,3,1,3,199,0,0,1,علوي,0,0,980000
شقة, الرياض , حي النرجس ,,3,1,3,145,1,0,1,أرضي,2,0,1050000
شقة, الرياض , حي النرجس ,شمالية,3,1,3,101,1,0,0,أرضي,0,1,1200000
شقة, الرياض , حي الياسمين ,شرقية,4,1,3,147,1,0,1,علوي,2,1,1200000
شقة, الرياض , حي الياسمين ,,3,1,2,118,1,0,1,3,0,0,850000
شقة, الرياض , حي النرجس ,شرقية,3,1,3,112,1,0,0,أرضي,0,0,885000
شقة, الرياض , حي النرجس ,شرقية,2,1,3,100,1,0,1,3,0,0,1200000
شقة, الرياض , حي النرجس ,جنوبية شرقية,3,1,3,170,1,0,1,ثالث,,1,930000
شقة, الرياض , حي العقيق ,,3,1,3,115,0,1,1,,11,0,1100000
شقة, الرياض , حي القيروان ,شرقية,4,1,3,150,1,0,0,أرضي,0,0,1300000
شقة, الرياض , حي النرجس ,,2,2,3,157,1,0,0,أرضي,0,0,950000
شقة, الرياض , حي الملقا ,شمالية غربية,4,1,3,124,1,0,1,علوي,0,0,959000
شقة, الرياض , حي الملقا ,,3,1,3,140,0,0,1,علوي,0,0,1190000
شقة, منطقة الرياض, حي الملقا ,,3,1,3,134,1,0,1,,1,0,1320000
شقة, الرياض , حي النرجس ,جنوبية,4,1,3,120,1,0,0,أرضي,0,0,850000
شقة, الرياض , حي النخيل ,ثلاث شوارع,2,1,3,140,0,1,1,علوي,0,0,3300000
شقة, الرياض , حي الملقا ,,3,1,3,116,1,1,1,أرضي,2,1,1100000
شقة, الرياض , حي القيروان ,,3,1,3,100,1,1,1,أرضي,0,0,850000
شقة, الرياض , حي الياسمين ,,3,1,3,112,0,0,0,أرضي,0,0,950000
شقة, امارة منطقة الرياض, الرياض ,,2,1,3,135,0,0,0,,0,0,1375000
شقة, الرياض , حي الصحافة ,,2,1,3,142,1,1,1,,7,0,1980000
شقة, الرياض , حي الياسمين ,جنوبية,4,1,4,201,1,0,1,علوي,3,0,1400000
شقة, الرياض , حي العارض ,جنوبية شرقية,3,2,3,167,1,1,0,,0,1,990000
شقة, الرياض , حي القيروان ,,3,2,3,228,1,1,1,علوي,0,1,1850000
شقة, الرياض , حي الملقا ,غربية,3,2,3,178,1,1,1,,0,0,1499000
شقة, الرياض , حي القيروان ,شرقية,3,1,3,104,1,1,0,أرضي,0,0,1100000
شقة, الرياض , حي النرجس ,جنوبية,3,1,3,185,1,0,1,علوي,2,1,1000000
شقة, الرياض , حي النرجس ,,3,1,2,129,1,0,1,علوي,0,0,830000
شقة, الرياض , حي النفل ,شمالية,3,1,4,131,0,1,1,3,0,0,1070000
شقة, الرياض , حي الملقا ,شرقية,4,1,3,259,0,0,1,3,0,0,1450000
شقة, الرياض , حي الياسمين ,,3,1,3,124,0,1,0,أرضي,0,0,990000
شقة, الرياض , حي الملقا ,,3,1,3,121,0,0,1,علوي,0,0,1249000
شقة, امارة منطقة الرياض, الرياض ,غربية,3,1,4,166,1,0,1,علوي,0,1,1190000
شقة, الرياض , حي النرجس ,,2,2,3,157,1,0,0,أرضي,0,0,950000
شقة, الرياض , حي النرجس ,,4,2,4,155,1,1,1,أرضي,0,0,1205000
شقة, الرياض , حي النرجس ,جنوبية,2,2,3,117,0,0,1,3,0,0,899000
شقة, منطقة الرياض, حي النرجس ,جنوبية,3,1,3,137,1,0,0,علوي,1,0,850000
شقة, الرياض , حي حطين ,,3,1,3,174,1,0,1,أرضي,0,0,1350000
شقة, الرياض , حي الربيع ,جنوبية,3,2,3,264,1,1,1,4,0,0,1800000
شقة, الرياض , حي العقيق ,جنوبية,3,1,3,139,1,1,1,3,10,0,800000
شقة, الرياض , حي الربيع ,جنوبية,2,1,2,123,1,0,0,ثاني,0,0,1379000
شقة, الرياض , حي النرجس ,شمالية,3,1,3,145,1,0,1,أرضي,2,0,1050000
شقة, الرياض , حي القيروان ,شمالية,4,1,2,199,1,0,0,علوي,0,0,1500000
شقة, امارة منطقة الرياض, الرياض ,,1,,4,178,1,0,0,أرضي,2,0,1250000
شقة, الرياض , حي العقيق ,شمالية,4,1,3,220,1,1,1,3,0,0,800000
شقة, الرياض , حي الملقا ,شمالية,3,1,3,150,0,0,0,أرضي,0,0,1150000
شقة, الرياض , حي الصحافة ,جنوبية,3,1,3,143,0,0,0,دور 59,9,1,2630000
شقة, الرياض , حي الياسمين ,جنوبية,4,2,5+,178,1,1,1,علوي,0,0,900000
شقة, الرياض , حي العارض ,شمالية,3,1,3,142,1,1,1,علوي,0,0,799000
شقة, الرياض , حي المروج ,,3,1,3,116,1,0,0,أرضي,0,0,969000
شقة, الرياض , حي الملقا ,شمالية,2,1,3,222,0,0,1,علوي,0,0,1199000
شقة, الرياض , حي الملقا ,شمالية,3,1,3,161,0,0,0,علوي,11,0,850000
شقة, الرياض , حي العارض ,جنوبية,3,1,3,188,1,1,0,,0,0,1190000
شقة, الرياض , حي النرجس ,شمالية,3,1,3,188,1,0,1,3,0,0,980000
شقة, الرياض , حي النخيل ,,5,1,4,216,0,0,0,أرضي,3,0,1100000
شقة, منطقة الرياض, الرياض ,شرقية,3,1,2,104,1,1,1,3,7,0,715000
شقة, الرياض , حي الملقا ,,2,1,2,94,1,1,1,أرضي,0,1,1300000
شقة, الرياض , حي العارض ,,3,1,3,176,0,0,0,علوي,0,0,1079000
شقة, الرياض , حي المصيف ,شرقية,2,1,2,103,0,0,1,,0,0,849000
شقة, الرياض , حي النرجس ,,3,,3,131,1,0,0,أرضي,1,0,890000
شقة, الرياض , حي النرجس ,جنوبية,4,1,3,120,1,0,0,أرضي,0,0,850000
شقة, الرياض , حي النرجس ,ثلاث شوارع,2,1,2,151,1,0,1,أرضي,0,0,896000
شقة, منطقة الرياض, الرياض ,جنوبية,4,1,3,151,1,1,1,3,0,1,1369000
شقة, الرياض , حي النرجس ,,3,2,4,145,0,0,0,أرضي,0,0,1100000
شقة, الرياض , حي العليا ,ثلاث شوارع,4,2,5+,217,1,1,1,,5,1,3500000
شقة, الرياض , حي النرجس ,شمالية,3,1,3,240,1,1,0,أرضي,0,0,1350000
شقة, الرياض , حي العارض ,شمالية,3,1,3,120,1,1,1,ارضي,0,0,1000000
شقة, الرياض , حي النرجس ,,3,1,3,214,0,1,1,علوي,0,0,959000
شقة, الرياض , حي الفلاح ,,3,1,3,132,0,0,0,علوي,0,0,1065000
شقة, الرياض , حي الملقا ,شرقية,3,1,4,148,1,0,1,علوي,0,1,1350000
شقة, الرياض , حي العارض ,,3,1,2,109,1,0,1,علوي,4,0,820000
شقة, الرياض , حي الملقا ,شمالية,3,1,3,161,0,0,1,علوي,0,0,1429000
شقة, الرياض , حي العارض ,جنوبية,3,1,3,200,1,0,1,أرضي,0,0,1100000
شقة, الرياض , حي الملقا ,,3,1,3,114,0,0,0,,0,0,850000
شقة, الرياض , حي الملقا ,غربية,3,1,3,210,1,0,1,,0,1,1700000
شقة, الرياض , حي النرجس ,شرقية,3,1,3,132,1,0,1,أرضي,0,0,985000
شقة, الرياض , حي حطين ,شمالية غربية,3,2,3,155,1,0,0,علوي,0,0,1260000
شقة, الرياض , حي النرجس ,,2,2,2,129,0,0,1,علوي,0,0,830000
شقة, امارة منطقة الرياض, الرياض ,,4,1,3,140,0,1,1,علوي,0,0,1250000
شقة, الرياض , حي العارض ,جنوبية,3,2,3,147,1,1,1,,0,0,959000
شقة, الرياض , حي الملقا ,غربية,3,2,3,117,1,0,1,أرضي,0,0,1179000
شقة, منطقة الرياض, الرياض ,شرقية,3,1,2,104,1,1,1,3,7,0,715000
شقة, الرياض , حي حطين ,شرقية,3,1,2,104,1,1,1,3,0,0,745000
شقة, الرياض , حي الندى ,شرقية,3,1,3,135,1,1,1,أرضي,3,0,1300000
شقة, الرياض , حي الملقا ,شمالية,3,1,3,129,1,0,1,علوي,0,1,1200000
شقة, الرياض , حي العارض ,جنوبية غربية,4,1,4,188,0,1,1,ثاني,0,0,1200000
شقة, امارة منطقة الرياض, الرياض ,,3,1,3,134,0,1,1,أرضي,0,0,1350000
شقة, امارة منطقة الرياض, الرياض ,شرقية,3,1,5+,428,1,0,0,علوي,0,0,1650000
شقة, الرياض , حي الملك فهد ,,3,1,3,100,1,0,1,علوي,0,0,980000
شقة, منطقة الرياض, الرياض ,شمالية,3,1,2,104,0,1,1,3,1,0,715000
شقة, الرياض , حي النرجس ,جنوبية,2,2,3,117,0,0,1,3,0,0,899000
شقة, الرياض , حي العقيق ,شمالية,4,1,3,220,1,1,1,3,0,0,800000
شقة, الرياض , حي الياسمين ,شمالية,4,1,4,204,1,0,0,أرضي,13,1,1550000
شقة, الرياض , حي النخيل ,,3,2,3,169,1,0,0,3,0,0,1490000
شقة, الرياض , حي العارض ,شرقية,3,1,4,341,0,0,0,ارضي,0,0,1450000
شقة, منطقة الرياض, حي الوادي ,جنوبية,3,1,3,126,1,0,0,علوي,2,1,970000
شقة, الرياض , حي العارض ,شرقية,3,1,3,120,1,1,1,ارضي,0,0,1100000
شقة, منطقة الرياض, الرياض ,,4,1,3,126,1,0,1,علوي,7,1,1350000
شقة, الرياض , حي الملقا ,شرقية,4,2,4,232,1,1,1,3,1,1,1500000
شقة, الرياض , حي العقيق ,شرقية,3,1,3,135,1,0,1,علوي,11,1,850000
شقة, منطقة الرياض, الرياض ,جنوبية,3,2,3,130,1,0,0,أرضي,0,0,840000
شقة, الرياض , حي المصيف ,شمالية شرقية,3,1,2,107,1,1,1,أرضي,7,0,750000
شقة, الرياض , حي النفل ,شمالية,2,1,3,93,0,0,1,4,0,0,1070000
شقة, الرياض , حي الملقا ,شمالية غربية,3,2,3,124,0,0,1,3,0,0,950000
شقة, الرياض , حي الملقا ,,3,1,3,140,1,1,1,علوي,0,0,850000
شقة, الرياض , حي العقيق ,,3,1,3,115,0,1,1,,11,0,1100000
شقة, الرياض , حي النخيل ,,5,1,4,216,0,0,0,أرضي,3,0,1100000
شقة, الرياض , حي النرجس ,غربية,6,2,3,256,0,0,1,علوي,0,0,1399000
شقة, الرياض , حي النرجس ,,3,3,3,130,1,0,0,أرضي,0,0,890000
شقة, الرياض , حي العقيق ,شمالية,4,2,4,139,1,0,1,,8,1,800000
شقة, الرياض , حي النفل ,شمالية,3,1,3,126,0,0,0,,2,0,970000
شقة, الرياض , حي النفل ,شمالية,3,1,3,174,1,0,1,,0,0,850000
شقة, الرياض , حي الملقا ,جنوبية شرقية,3,1,3,113,1,0,1,أرضي,0,0,1020000
شقة, الرياض , حي حطين ,شرقية,2,2,2,104,1,1,1,4,0,0,715000
شقة, الرياض , حي العارض ,شرقية,2,1,3,61,1,0,0,علوي,0,0,750000
شقة, امارة منطقة الرياض, الرياض ,شرقية,3,1,3,163,0,0,1,علوي,0,0,985000
شقة, الرياض , حي النرجس ,جنوبية,2,2,3,117,1,0,1,3,0,0,849000
شقة, الرياض , حي الملقا ,شرقية,4,2,3,168,1,1,1,علوي,0,0,1200000
شقة, الرياض , حي الملقا ,,2,1,2,94,1,1,1,أرضي,0,1,1300000
شقة, الرياض , حي النرجس ,ثلاث شوارع,1,,3,151,1,0,1,أرضي,0,0,900000
شقة, الرياض , حي النرجس ,شمالية,3,2,5+,226,1,1,0,أرضي,8,0,1650000
شقة, الرياض , حي النرجس ,,2,1,3,129,1,0,0,علوي,0,0,830000
شقة, الرياض , حي التعاون ,شمالية,3,1,3,140,1,0,0,أرضي,4,0,1200000
شقة, الرياض , حي النخيل ,جنوبية,3,2,5+,216,1,0,1,أرضي,3,0,1200000
شقة, الرياض , حي المغرزات ,شرقية,3,1,3,218,1,1,1,4,0,0,1379000
شقة, الرياض , حي العارض ,جنوبية,3,1,3,216,1,0,1,أرضي,3,0,1180000
شقة, الرياض , حي الملقا ,شرقية,1,1,3,86,1,1,1,علوي,0,0,900000
شقة, الرياض , حي العارض ,جنوبية,3,2,2,129,1,0,1,أرضي,0,0,1000000
شقة, الرياض , حي النرجس ,شرقية,2,1,3,100,1,0,1,3,0,0,1200000
شقة, منطقة الرياض, الرياض ,,3,2,2,176,1,1,1,علوي,1,0,1350000
شقة, الرياض , حي النرجس ,جنوبية غربية,3,1,3,172,0,0,0,أرضي,0,0,1100000
شقة, الرياض , حي الياسمين ,شمالية,3,2,4,212,1,0,1,أرضي,10,0,1000000
شقة, الرياض , حي الملقا ,شرقية,3,1,3,134,1,0,0,علوي,0,0,980000
شقة, الرياض , حي النرجس ,شمالية,3,2,5+,226,1,1,0,أرضي,8,0,1650000
شقة, الرياض , حي القيروان ,شرقية,3,1,3,139,1,0,0,أرضي,1,0,1600000
شقة, الرياض , حي حطين ,شمالية غربية,3,2,3,155,1,0,0,علوي,0,0,1260000
شقة, الرياض , حي النخيل ,ثلاث شوارع,2,1,3,140,0,1,1,علوي,0,0,3300000
شقة, منطقة الرياض, الرياض ,شرقية,4,1,3,134,1,1,1,3,1,0,1100000
شقة, الرياض , حي القيروان ,شرقية,4,1,3,150,1,0,0,أرضي,0,0,1300000
شقة, منطقة الرياض, الرياض ,,1,,3,151,0,0,0,,0,0,896000
شقة, الرياض , حي التعاون ,شرقية,4,2,3,126,1,0,1,علوي,5,0,900000
شقة, الرياض , حي الملقا ,شرقية,3,1,3,135,1,0,1,أرضي,0,1,1176000
شقة, الرياض , حي النرجس ,غربية,3,1,3,115,1,1,1,أرضي,0,0,799000
شقة, الرياض , حي الصحافة ,جنوبية شرقية,1,1,2,81,1,1,1,,7,1,1600000
شقة, الرياض , حي العارض ,,2,1,3,133,0,1,1,أرضي,0,0,790000
شقة, الرياض , حي النرجس ,,3,2,3,147,1,0,0,أرضي,0,0,920000
شقة, الرياض , حي النرجس ,شمالية,3,1,3,188,1,0,1,3,0,0,980000
شقة, الرياض , حي العارض ,جنوبية شرقية,3,2,3,167,1,1,0,,0,1,990000
شقة, الرياض , حي الياسمين ,,4,1,3,112,0,0,1,أرضي,0,0,955000
شقة, الرياض , حي العارض ,جنوبية,3,1,3,126,0,1,0,ارضي,0,0,900000
شقة, امارة منطقة الرياض, الرياض ,شرقية,4,1,5+,181,0,0,1,علوي,0,0,1300000
شقة, الرياض , حي النرجس ,ثلاث شوارع,2,1,3,167,1,1,1,علوي,0,0,1255600
شقة, الرياض , حي العارض ,,3,1,2,109,1,0,1,علوي,4,0,820000
شقة, الرياض , حي العارض ,شمالية,3,1,4,203,0,1,1,ثالث,0,0,1150000
شقة, الرياض , حي العقيق ,شمالية,4,2,4,139,1,0,1,,8,1,800000
شقة, الرياض , حي النرجس ,شمالية,3,1,2,120,1,1,1,أرضي,0,0,909000
شقة, الرياض , حي النرجس ,جنوبية,3,1,3,134,0,0,1,علوي,0,0,890000
شقة, الرياض , حي النرجس ,شرقية,3,1,4,178,1,0,1,أرضي,0,0,900000
شقة, الرياض , حي الياسمين ,,6,1,5+,180,1,0,0,أرضي,10,1,1100000
شقة, الرياض , حي الملقا ,شمالية,4,1,3,179,1,1,1,3,0,0,1155000
شقة, الرياض , حي الفلاح ,,3,1,3,112,1,0,0,علوي,0,0,1069000
شقة, الرياض , حي الملقا ,غربية,3,1,3,190,1,1,1,علوي,0,0,1600000
شقة, الرياض , حي الربيع ,جنوبية,3,1,3,114,1,0,1,أرضي,0,0,1000000
شقة, الرياض , حي الياسمين ,جنوبية,3,1,3,172,1,1,0,,3,0,1250000
شقة, الرياض , حي الياسمين ,,4,1,3,154,1,0,1,أرضي,0,0,900000
شقة, الرياض , حي النرجس ,شرقية,3,2,3,137,0,0,0,أرضي,0,0,980000
شقة, منطقة الرياض, الرياض ,,3,1,4,181,1,1,1,20+,0,1,2550000
شقة, الرياض , حي القيروان ,,3,1,2,126,0,0,0,,2,0,950000
شقة, الرياض , حي النرجس ,,4,1,4,137,0,0,0,أرضي,0,0,1070000
شقة, الرياض , حي الملقا ,شرقية,3,1,3,128,1,0,0,علوي,7,0,860000
شقة, الرياض , حي العارض ,شمالية,3,1,2,120,0,0,1,أرضي,0,0,910000
شقة, الرياض , حي النرجس ,جنوبية شرقية,1,1,2,170,1,0,1,3,0,0,930000
شقة, الرياض , حي الندى ,جنوبية,3,2,3,138,1,1,1,علوي,0,0,1089000
شقة, الرياض , حي العارض ,شرقية,3,1,3,280,0,1,1,علوي,0,0,1289000
شقة, الرياض , حي القيروان ,,3,1,3,130,1,1,1,أرضي,0,1,1328465
شقة, الرياض , حي العارض ,جنوبية,3,2,2,129,1,0,1,أرضي,0,0,1000000
شقة, الرياض , حي النرجس ,,2,1,2,129,1,0,0,أرضي,0,0,830000
شقة, الرياض , حي النرجس ,ثلاث شوارع,1,,3,151,1,0,1,أرضي,0,0,900000
شقة, الرياض , حي العارض ,شرقية,3,1,3,144,0,0,0,أرضي,0,0,900000
شقة, الرياض , حي الملقا ,,3,2,3,169,0,0,1,علوي,0,0,1350000
شقة, الرياض , حي العارض ,جنوبية,4,1,4,200,0,1,0,أرضي,0,0,1200000
شقة, الرياض , حي القيروان ,شرقية,4,1,3,150,1,0,0,أرضي,0,0,1300000
شقة, الرياض , حي العارض ,,4,1,3,138,1,0,0,علوي,3,0,750000
شقة, الرياض , حي النرجس ,شمالية,3,1,3,138,1,1,1,أرضي,3,0,1200000
شقة, الرياض , حي النرجس ,جنوبية شرقية,1,1,2,170,1,0,1,3,0,0,930000
شقة, الرياض , حي النرجس ,شمالية,4,2,4,163,1,0,0,3,0,0,900000
شقة, الرياض , حي النرجس ,شمالية,4,1,3,179,1,1,1,3,0,0,1155000
شقة, الرياض , حي النفل ,شمالية,3,1,4,131,0,1,1,3,0,0,1070000
شقة, الرياض , حي الياسمين ,,2,1,3,100,1,0,0,أرضي,5,0,850000
شقة, الرياض , حي العارض ,جنوبية,4,2,4,200,1,1,1,علوي,0,0,1190000
شقة, الرياض , حي القيروان ,,3,1,3,135,1,0,1,3,3,1,1400000
شقة, الرياض , حي النرجس ,ثلاث شوارع,2,1,3,151,1,1,1,علوي,0,0,1179000
شقة, الرياض , حي العقيق ,شمالية غربية,3,1,3,162,1,1,1,3,0,0,700000
شقة, الرياض , حي العارض ,جنوبية,3,2,3,147,1,1,1,,0,0,959000
شقة, الرياض , حي النرجس ,جنوبية غربية,3,1,3,172,0,0,0,أرضي,0,0,1100000
شقة, الرياض , حي العارض ,جنوبية,3,2,3,134,1,0,0,أرضي,0,1,1200000
شقة, الرياض , حي النرجس ,,2,1,3,129,1,0,0,علوي,0,0,830000
شقة, امارة منطقة الرياض, الرياض ,,3,1,3,195,1,1,1,علوي,0,1,1199000
شقة, الرياض , حي الصحافة ,,2,1,3,142,1,1,1,,7,0,1980000
شقة, الرياض , حي الوادي ,شمالية,4,1,2,161,1,1,1,3,0,0,800000
شقة, الرياض , حي حطين ,شرقية,3,1,3,141,1,0,1,أرضي,0,0,1400000
شقة, الرياض , حي الملقا ,,3,1,3,114,0,0,0,,0,0,850000
شقة, الرياض , حي المصيف ,جنوبية,2,1,2,100,1,0,1,,2,1,1100000
شقة, الرياض , حي النرجس ,جنوبية,3,2,3,200,1,0,0,أرضي,1,0,950000
شقة, الرياض , حي التعاون ,شرقية,4,2,3,126,1,0,1,علوي,5,0,900000
شقة, الرياض , حي الندى ,جنوبية,2,1,3,109,1,0,1,أرضي,0,0,839000
شقة, منطقة الرياض, الرياض ,,3,2,3,149,1,0,1,علوي,0,0,1250000
شقة, الرياض , حي العارض ,جنوبية,2,1,2,133,0,0,1,,0,0,799000
شقة, الرياض , حي القيروان ,شمالية غربية,3,1,4,280,1,1,0,اول,0,0,1730000
شقة, الرياض , حي العارض ,شمالية,3,1,2,120,0,0,1,أرضي,0,0,910000
شقة, الرياض , حي العارض ,شرقية,2,1,3,61,1,0,0,علوي,0,0,750000
شقة, الرياض , حي الملقا ,شمالية,4,1,4,157,0,0,1,علوي,0,0,1300000
شقة, الرياض , حي الندى ,جنوبية شرقية,3,2,3,241,1,1,1,3,0,0,1429000
شقة, الرياض , حي العارض ,شمالية غربية,3,1,3,199,0,0,1,علوي,0,0,980000
شقة, الرياض , حي النرجس ,,3,1,3,131,1,0,0,أرضي,0,1,890000
شقة, الرياض , حي حطين ,شرقية,3,1,3,104,1,1,0,أرضي,0,1,1400000
شقة, الرياض , حي النرجس ,شرقية,4,2,3,144,0,0,1,علوي,0,0,1150000
شقة, الرياض , حي حطين ,,3,2,4,166,0,0,1,أرضي,0,0,1299000
شقة, الرياض , حي الملقا ,شرقية,3,1,3,169,1,0,1,أرضي,0,0,1179000
شقة, الرياض , حي العارض ,جنوبية,3,1,3,153,1,1,0,,0,1,1160000
شقة, الرياض , حي الوادي ,شمالية,4,1,2,161,1,1,1,3,0,0,800000
شقة, الرياض , حي القيروان ,شمالية,3,1,3,210,0,0,1,3,0,0,1390000
شقة, امارة منطقة الرياض, الرياض ,شمالية شرقية,3,1,3,147,0,0,0,أرضي,0,0,957000
شقة, الرياض , حي الملقا ,,3,2,3,119,1,0,0,أرضي,10,0,799000
شقة, الرياض , حي المرسلات ,,3,1,3,128,0,0,1,علوي,0,0,1400000
شقة, الرياض , حي المغرزات ,غربية,3,1,3,154,1,1,1,علوي,0,0,1179000
شقة, الرياض , حي التعاون ,شمالية,4,1,3,191,1,1,1,3,0,0,1620000
شقة, الرياض , حي النرجس ,جنوبية شرقية,3,1,4,160,0,0,1,,0,0,1100000
شقة, الرياض , حي الملقا ,غربية,3,1,3,210,1,0,1,,0,1,1700000
شقة, الرياض , حي حطين ,شرقية,3,2,3,170,0,0,1,3,0,0,1390000
شقة, الرياض , حي النرجس ,شمالية غربية,3,2,3,176,0,0,1,علوي,0,0,1233000
شقة, الرياض , حي النخيل ,جنوبية,3,2,5+,216,1,0,1,أرضي,3,0,1200000
شقة, الرياض , حي الملقا ,غربية,3,2,3,117,1,0,1,3,0,1,1179000
شقة, امارة منطقة الرياض, الرياض ,جنوبية غربية,3,2,3,146,1,0,1,علوي,0,0,1250000
شقة, الرياض , حي النرجس ,شمالية,3,1,3,132,1,0,0,,0,0,1029000
شقة, الرياض , حي النرجس ,,2,1,2,129,1,0,0,أرضي,0,0,830000
شقة, منطقة الرياض, الرياض ,ثلاث شوارع,4,1,4,151,0,0,0,,0,0,896000
شقة, الرياض , حي الياسمين ,,3,2,3,191,1,0,0,أرضي,0,0,1189000
شقة, الرياض , حي الياسمين ,شمالية,3,1,3,174,1,0,1,,0,0,850000
شقة, الرياض , حي القيروان ,,3,1,3,100,1,1,1,أرضي,0,0,850000
شقة, الرياض , حي النرجس ,ثلاث شوارع,2,1,3,167,1,1,1,علوي,0,0,1255600
شقة, الرياض , حي النرجس ,شرقية,5,1,4,141,0,0,1,أرضي,0,0,985000
شقة, الرياض , حي المغرزات ,غربية,2,2,3,158,1,1,1,أرضي,0,1,1375000
شقة, الرياض , حي الندى ,جنوبية,3,2,3,142,1,0,0,علوي,0,0,1149000
شقة, الرياض , حي الملقا ,غربية,4,1,4,135,0,0,0,أرضي,0,0,1250000
شقة, منطقة الرياض, حي الوادي ,جنوبية,3,1,3,126,1,0,0,علوي,2,1,970000
شقة, امارة منطقة الرياض, الرياض ,شمالية شرقية,3,1,3,147,0,0,0,أرضي,0,0,957000
شقة, الرياض , حي النرجس ,جنوبية,3,2,3,200,1,0,0,أرضي,1,0,950000
شقة, الرياض , حي النرجس ,شمالية,4,1,3,179,1,1,1,3,0,0,1155000
شقة, الرياض , حي حطين ,شمالية,3,2,3,146,1,0,1,علوي,10,1,1300000
شقة, الرياض , حي العارض ,جنوبية,4,2,4,200,1,1,1,علوي,0,0,1190000
شقة, الرياض , حي القيروان ,شمالية شرقية,3,1,3,147,1,1,1,ثالث,0,0,1079000
شقة, الرياض , حي النرجس ,,3,2,3,124,0,0,1,,0,0,859000
شقة, امارة منطقة الرياض, الرياض ,جنوبية غربية,4,1,3,181,0,0,0,أرضي,0,0,995000
شقة, منطقة الرياض, الرياض ,,1,,3,151,0,0,0,,0,0,896000
شقة, الرياض , حي القيروان ,,3,1,3,134,1,1,0,علوي,3,0,1100000
شقة, الرياض , حي العارض ,شمالية,3,2,3,141,1,0,1,3,0,0,959000
شقة, الرياض , حي الربيع ,,3,1,3,110,1,0,0,علوي,0,0,940000
شقة, الرياض , حي النرجس ,,3,1,3,140,0,0,0,علوي,0,0,1250000
شقة, الرياض , حي العقيق ,شمالية غربية,3,1,3,162,1,1,1,3,0,0,700000
شقة, الرياض , حي الملقا ,شرقية,2,1,2,148,1,0,1,أرضي,0,0,1099000
شقة, الرياض , حي حطين ,شمالية غربية,2,1,2,107,1,0,0,أرضي,0,0,945000
شقة, الرياض , حي النرجس ,شرقية,3,1,3,163,1,1,1,أرضي,0,0,906000
شقة, الرياض , حي المروج ,شمالية شرقية,3,1,2,130,1,0,1,,10,0,800000
شقة, الرياض, الرياض ,جنوبية,3,1,3,129,1,0,1,أرضي,1,0,950000
شقة, منطقة الرياض, الرياض ,,3,2,3,149,1,0,1,علوي,0,0,1250000
شقة, الرياض , حي النرجس ,شرقية,3,1,3,132,1,0,1,أرضي,0,0,985000
شقة, منطقة الرياض, الرياض ,,4,1,3,126,1,0,1,علوي,7,1,1350000
شقة, الرياض , حي النرجس ,غربية,4,1,3,160,1,0,1,3,0,0,920000
شقة, الرياض , حي الملقا ,شرقية,3,1,3,124,1,0,0,أرضي,0,0,1100000
شقة, الرياض , حي التعاون ,شمالية,3,1,3,140,1,0,0,أرضي,4,0,1200000
شقة, الرياض , حي الملقا ,,3,1,2,100,1,1,1,أرضي,0,0,1000000
شقة, الرياض , حي الوادي ,شمالية,3,1,3,141,1,0,0,أرضي,0,0,979000
